gene	Score	Rank	Rank_z
HES4	-0.0001312207	18827	0.971716129032258
KCNK7	-0.00013107396	18825	0.971612903225806
SLC39A4	-0.0001310122	18824	0.971561290322581
VPS50	-0.00013096604	18823	0.971509677419355
RAMP2	-0.00013089376	18822	0.971458064516129
HLTF-AS1	-0.00013085997	18821	0.971406451612903
CELP	-0.00013000553	18815	0.971096774193548
IRAK4	-0.00012998884	18814	0.971045161290323
KLHL21	-0.0001299468	18813	0.970993548387097
USP43	-0.00012980081	18811	0.970890322580645
DHX9	-0.00012956672	18808	0.970735483870968
RELA	-0.00012933595	18806	0.970632258064516
FMO3	-0.00012927149	18805	0.97058064516129
LCE1D	-0.00012890686	18804	0.970529032258064
SELENOK	-0.0001287876	18803	0.970477419354839
POU3F4	-0.00012873922	18802	0.970425806451613
C1orf109	-0.00012841249	18800	0.970322580645161
RFPL4AL1	-0.00012833632	18799	0.970270967741935
TDP1	-0.00012809435	18797	0.970167741935484
LINC00626	-0.00012806548	18796	0.970116129032258
ARX	-0.00012802063	18795	0.970064516129032
ANXA2R	-0.00032334594	14119	0.970040719525676
HRH2	-0.00012791199	18794	0.970012903225807
VSTM2A-OT1	-0.00012784322	18793	0.969961290322581
GAL3ST4	-0.00012759485	18791	0.969858064516129
ARL11	-0.00012747596	18789	0.969754838709677
USP36	-0.00012744857	18787	0.969651612903226
UBE2Q2P2	-0.00012721583	18784	0.969496774193548
VPS37D	-0.0001269947	18781	0.969341935483871
CCN2	-0.00012696847	18780	0.969290322580645
TRIM43	-0.00012693561	18779	0.969238709677419
MIR657	-0.0001268036	18778	0.969187096774194
PSMD8	-0.0001266223	18776	0.969083870967742
DPH1	-0.000308429285	12773.5	0.969037058632033
INTS11	-0.00012655303	18774	0.96898064516129
ZNF706	-0.00012650421	18773	0.968929032258064
GOLGA6L4	-0.00012630477	18771	0.968825806451613
MIR561	-0.00012627657	18770	0.968774193548387
LCT	-0.000261722295	14235.5	0.968770575821526
IFT122	-0.00012620406	18768	0.968670967741935
MAGEE1	-0.00012609568	18767	0.96861935483871
ST3GAL2	-0.0001257991	18764	0.968464516129032
CPSF4	-0.00012533278	18760	0.968258064516129
PPP1R10	-0.00012528822	18759	0.968206451612903
WWTR1-AS1	-0.00012522607	18758	0.968154838709678
MTMR4	-0.00012520874	18757	0.968103225806452
WDR11-AS1	-0.00012501504	18756	0.968051612903226
ERH	-0.00012500057	18755	0.968
KRTAP26-1	-0.00012489237	18753	0.967896774193548
GSS	-0.00012484296	18752	0.967845161290323
ZNF395	-0.00012480299	18750	0.967741935483871
IGFL2	-0.00012467298	18749	0.967690322580645
SNORD115-27	-0.00012464971	18748	0.967638709677419
CCDC189	-0.00012438012	18744	0.967432258064516
SNORD12C	-0.00012402283	18743	0.96738064516129
KCNV1	-0.0001239767	18742	0.967329032258064
ABHD5	-0.00012312732	18739	0.967174193548387
LINC00927	-0.00040162465	9624	0.967138981006934
YJEFN3	-0.00012295727	18736	0.96701935483871
PPP1R11	-0.0001228425	18735	0.966967741935484
ZNF136	-0.00012245709	18733	0.966864516129032
MIR433	-0.00012245368	18732	0.966812903225807
ETAA1	-0.00012234312	18731	0.966761290322581
TRMT6	-0.00012231084	18730	0.966709677419355
ZSCAN22	-0.00012201717	18729	0.966658064516129
KPTN	-0.000121825986	18728	0.966606451612903
ZNF586	-0.000121476696	18726	0.966503225806452
VSIG2	-0.00035814816	6416	0.966410604006627
MIR520C	-0.00012140501	18724	0.9664
SF3B5	-0.000121364275	18723	0.966348387096774
LILRB5	-0.00027017042	12715	0.966314740366068
DIMT1	-0.000234550685	12428	0.96620514749112
MIR1207	-0.00012103904	18720	0.966193548387097
C1orf159	-0.000319495813333333	11516.3333333333	0.966159855955729
RAET1L	-0.00012053831	18719	0.966141935483871
ZMYND10	-0.00012046898	18717	0.966038709677419
MIR3065	-0.000120305995	18716	0.965987096774194
SNHG1	-0.000120253186	18715	0.965935483870968
YPEL5	-0.0001200622	18713	0.965832258064516
LRRC30	-0.00011994739	18711	0.965729032258064
SATB2-AS1	-0.00011961047	18705	0.96541935483871
C12orf77	-0.00011951356	18704	0.965367741935484
ZNF436	-0.00011950042	18703	0.965316129032258
PTGS2	-0.00011939679	18702	0.965264516129032
DYDC1	-0.000119274744	18700	0.965161290322581
GDF11	-0.00011924504	18699	0.965109677419355
RASL12	-0.00035729414	6407	0.965054978159361
MOV10	-0.000119229684	18697	0.965006451612903
DEXI	-0.000119138946	18696	0.964954838709678
ETFDH	-0.000118871154	18695	0.964903225806452
MFSD12	-0.0001188269	18694	0.964851612903226
TRMU	-0.00011870906	18693	0.9648
RTL5	-0.000118569595	18692	0.964748387096774
C1orf74	-0.00011829235	18691	0.964696774193548
IZUMO3	-0.00011825464	18690	0.964645161290323
POP5	-0.00011802986	18689	0.964593548387097
IVL	-0.00011796369	18687	0.964490322580645
OR4F13P	-0.00011795513	18686	0.964438709677419
LINC00332	-0.0003570458	6402	0.964301852688658
C6orf136	-0.00011778328	18683	0.964283870967742
INE1	-0.00011748307	18680	0.964129032258065
MIR216B	-0.00011747758	18679	0.964077419354839
GPD1	-0.00011732639	18678	0.964025806451613
RPS6KL1	-0.00011726548	18677	0.963974193548387
MIRLET7I	-0.00011717911	18676	0.963922580645161
SDR9C7	-0.00011711964	18674	0.96381935483871
OR5D16	-0.00011701911	18673	0.963767741935484
TTC26	-0.000116988944	18672	0.963716129032258
MT2A	-0.00011689081	18669	0.963561290322581
OSBPL9	-0.000116879564	18668	0.963509677419355
CNGA2	-0.00011668312	18664	0.963303225806452
ZKSCAN3	-0.000116629104	18661	0.963148387096774
DDX39B	-0.000116392686	18656	0.962890322580645
SLC6A18	-0.00011633655	18655	0.962838709677419
F9	-0.0001162514	18654	0.962787096774193
GDAP1L1	-0.00011625103	18653	0.962735483870968
GOLGA8Q	-0.00011624509	18652	0.962683870967742
RUSC1	-0.00011614512	18651	0.962632258064516
RPL7A	-0.00011614318	18650	0.96258064516129
PADI3	-0.00011609962	18649	0.962529032258064
OR2A14	-0.000116078714	18647	0.962425806451613
DNAJC5G	-0.00011603118	18645	0.962322580645161
SNX3	-0.00011592413	18642	0.962167741935484
ZXDB	-0.00011591665	18641	0.962116129032258
SNORA14B	-0.000115902134	18640	0.962064516129032
PPIL4	-0.00011562265	18635	0.961806451612903
MIR448	-0.000254628255	14235	0.961632800723545
CLIC6	-0.000259900985	14061	0.961621545573309
H2BC11	-0.000115534676	18631	0.9616
ACVR1C	-0.000115514355	18629	0.961496774193548
SFPQ	-0.00011524711	18626	0.961341935483871
NEURL3	-0.000115017356	18624	0.961238709677419
SULT1C2P1	-0.000114972725	18623	0.961187096774194
TP53AIP1	-0.00011479237	18621	0.961083870967742
LINC00486	1.59584e-06	14710.5	0.96100392018457
TEX36-AS1	-0.000114404844	18619	0.96098064516129
SLC22A18AS	-0.00011431868	18617	0.960877419354839
KRTAP13-4	-0.00011429975	18616	0.960825806451613
SLC27A4	-0.00011426115	18615	0.960774193548387
GOLGA8M	-0.00035552526	6378	0.960686850429281
FBXO4	-0.000114223985	18613	0.960670967741935
MIR218-1	-0.000114215414	18612	0.96061935483871
PCYOX1	-0.000114121234	18611	0.960567741935484
TRIM72	-0.000137813642	10307	0.960526482387207
FUBP1	-0.00011405708	18610	0.960516129032258
FBXL22	-0.0002346503325	12491.5	0.960323939186333
ANGEL2	-0.00011372215	18605	0.960258064516129
TENT5C	-0.0001135457	18603	0.960154838709677
MIR99A	-0.00011352395	18602	0.960103225806452
CLPX	-0.00011346546	18601	0.960051612903226
ZNF771	-0.00011339548	18598	0.959896774193548
COX5A	-0.00011332413	18597	0.959845161290323
RNU6ATAC	-0.00011309427	18594	0.959690322580645
LCE5A	-0.0002314616125	12258.5	0.959684534689931
GGT7	-0.00011302606	18592	0.959587096774193
CLPB	-0.000112775306	18589	0.959432258064516
CAB39	-0.00025668451	14025	0.959299125716008
MIR200B	-0.00011247562	18585	0.959225806451613
SNORA71D	-0.00011235995	18581	0.95901935483871
PPT2-EGFL8	-0.000112161055	18580	0.958967741935484
RPS16	-0.000112112284	18579	0.958916129032258
SH3RF3-AS1	-0.00035509098	6366	0.958879349299593
ADH7	-0.000318130095	13902	0.958865159280474
ATP4A	-0.0001119713	18578	0.958864516129032
CXorf49B	-0.000111877904	18576	0.958761290322581
NR1I3	-0.0001118702	18575	0.958709677419355
MIR190B	-0.00011183826	18574	0.958658064516129
MRPS21	-0.00035483565	6364	0.958578099111312
GUCY2F	-0.000111611225	18570	0.958451612903226
PCNX3	-0.000111606496	18569	0.9584
INA	-0.00011145774	18567	0.958296774193548
CYP4F35P	-0.00035472383	6362	0.958276848923031
GPR139	-0.00011108379	18560	0.957935483870968
WSB2	-0.00011107364	18559	0.957883870967742
BCL2L12	-0.000110789966	18555	0.957677419354839
TLR9	-0.00011062114	18550	0.95741935483871
MIRLET7D	-0.00011051113	18549	0.957367741935484
FAM86B3P	-0.00011046607	18547	0.957264516129032
ANKRD33	-0.000110293884	18544	0.957109677419355
LINC01777	-0.000162077655	10080	0.957044545804253
IFNA14	-0.00011019957	18539	0.956851612903226
VPS16	-0.00011012072	18538	0.9568
SLC13A4	-0.00011010561	18536	0.956696774193548
SNORA6	-0.00024625113	13997	0.956509777911768
GCSIR	-0.00010985243	18530	0.956387096774194
MICALL2	-0.00010984468	18529	0.956335483870968
SUCO	-0.000109761975	18523	0.956025806451613
HCG4	-0.00035374254	6346	0.95586684741678
CSRP3	-0.000109552864	18518	0.955767741935484
ZNF256	-0.00010940512	18514	0.955561290322581
JMY	-0.00010939124	18513	0.955509677419355
RRAS	-0.00010937695	18512	0.955458064516129
DNAAF6	-0.00010930732	18511	0.955406451612903
FCSK	-0.00010925086	18510	0.955354838709677
CHRNG	-0.00010895677	18501	0.954890322580645
LIN9	-0.00025178672	13936.5	0.95463362476133
CTRC	-0.00010885247	18495	0.95458064516129
GANAB	-0.00010879899	18493	0.954477419354839
NFE2L1	-0.00010874561	18490	0.954322580645161
ASH2L	-0.00010868759	18489	0.954270967741935
OR2G3	-0.00010854755	18484	0.954012903225806
MEIOC	-0.00010854724	18483	0.953961290322581
APTR	-0.00010838117	18477	0.953651612903226
RTL1	-0.000232333725	12438.5	0.953578461583313
KLC3	-0.00010826799	18473	0.953445161290323
ZNF607	-0.000229069795	12301	0.953016491990146
GALK1	-0.000108069486	18462	0.952877419354839
HMGA2	-0.000108026376	18458	0.952670967741935
KCNG4	-0.000251933665	14158.5	0.952454306099889
FADS6	-0.0001079321	18451	0.952309677419355
LINC00663	-0.00035291366	6322	0.952251845157403
CAST	-0.00022690883	14007.5	0.952237081700332
GTSE1	-0.00010778175	18448	0.952154838709678
